Table 5-4:  CH4 Emissions from Enteric Fermentation (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Livestock Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Beef Cattle,4763,4786,4999,5110,5253,5419,5393,5260,5191,5159,5070,5037,5040,5041,4956,5007,5081,5123,5078,5034,4984,4873,4763,4722,4660,4724
,Dairy Cattle,1574,1559,1538,1526,1502,1498,1481,1475,1463,1503,1519,1509,1512,1520,1476,1503,1534,1601,1623,1639,1627,1645,1670,1664,1679,1706
,Swine,40,38,37,40,44,47,51,54,57,59,61,63,66,67,68,70,71,73,71,70,68,67,65,64,62,61
,Horses,91,89,86,82,79,72,68,64,63,58,56,55,53,51,49,49,50,49,48,46,45,44,43,43,42,42
,Sheep,81,85,88,87,90,88,84,88,93,90,88,88,90,90,91,92,93,98,101,99,97,98,100,98,96,102
,Goats,13,13,13,12,12,12,12,11,12,12,12,12,13,13,14,14,15,16,15,15,14,14,13,13,12,12
,American Bison,4,5,5,6,7,9,10,11,13,14,16,18,19,19,18,17,17,16,16,15,15,14,13,13,12,12
,Mules and Asses,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3
,Total,6566,6576,6767,6864,6989,7146,7100,6965,6891,6897,6824,6784,6794,6801,6674,6755,6863,6979,6954,6920,6853,6757,6670,6619,6567,6661
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,
