Table 5-7:  CH4 and N2O Emissions from Manure Management (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,CH4a,1486,1555,1500,1569,1679,1731,1704,1786,1949,1972,2001,2088,2141,2175,2122,2254,2278,2480,2455,2414,2482,2519,2625,2530,2514,2651
,Dairy Cattle,590,607,591,614,656,685,695,725,771,841,889,951,985,1036,988,1057,1091,1212,1243,1243,1256,1297,1373,1338,1361,1391
,Beef Cattle,126,126,129,130,135,139,136,134,137,137,131,134,131,131,129,133,137,134,130,130,132,131,128,121,120,126
,Swine,622,674,637,678,740,763,729,782,891,849,835,854,877,859,858,916,902,984,938,899,950,949,982,930,890,985
,Sheep,7,7,7,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
,Goats,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Poultry,131,131,127,131,131,128,125,128,130,126,127,131,129,130,129,129,131,134,129,128,129,127,128,128,131,135
,Horses,9,9,9,9,10,11,11,12,13,13,13,13,13,13,12,12,12,11,10,10,10,10,10,9,9,9
,American Bison,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,N2Ob,47,48,48,47,50,51,51,51,52,54,55,55,56,57,54,55,58,58,58,57,58,58,59,59,59,59
,Dairy Cattle,18,18,18,18,18,18,18,18,19,18,18,19,19,19,18,19,19,19,19,19,19,19,20,20,20,20
,Beef Cattle,20,20,20,19,21,22,21,21,22,24,25,24,25,25,24,24,26,26,25,25,25,26,26,26,26,26
,Swine,4,4,4,4,5,5,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7
,Sheep,+,+,+,+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Goats,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Poultry,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,Horses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,American Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA (Not available),,,,,,,,,,,,,,,,,,,,,,,,,,
,a Accounts for CH4 reductions due to capture and destruction of CH4 at facilities using anaerobic digesters.,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Includes both direct and indirect N2O emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding. American bison are maintained entirely on unmanaged WMS; there are no American bison N2O emissions from managed systems.,,,,,,,,,,,,,,,,,,,,,,,,,,
