Table 5-3:  CH4 Emissions from Enteric Fermentation (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Livestock Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Beef Cattle,119.1,119.7,125,127.7,131.3,135.5,134.8,131.5,129.8,129,126.7,125.9,126,126,123.9,125.2,127,128.1,126.9,125.8,124.6,121.8,119.1,118,116.5,118.1
,Dairy Cattle,39.4,39,38.5,38.2,37.6,37.5,37,36.9,36.6,37.6,38,37.7,37.8,38,36.9,37.6,38.4,40,40.6,41,40.7,41.1,41.7,41.6,42,42.6
,Swine,1,1,0.9,1,1.1,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.5
,Horses,2.3,2.2,2.2,2,2,1.8,1.7,1.6,1.6,1.4,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1,1.1
,Sheep,2,2.1,2.2,2.2,2.2,2.2,2.1,2.2,2.3,2.3,2.2,2.2,2.3,2.2,2.3,2.3,2.3,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.4,2.6
,Goats,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3
,American Bison,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3
,Mules and Asses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Total,164.2,164.4,169.2,171.6,174.7,178.7,177.5,174.1,172.3,172.4,170.6,169.6,169.8,170,166.8,168.9,171.6,174.5,173.8,173,171.3,168.9,166.7,165.5,164.2,166.5
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,
