"Table 3-1:  CO2, CH4, and N2O Emissions from Energy (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,CO2,4907.2,4867.2,4969.6,5085.8,5171,5226.8,5411.9,5484.4,5527.6,5609.5,5778.9,5701.3,5741.6,5793.8,5901.4,5932.3,5847.2,5923.5,5740.4,5346.7,5521.3,5387.2,5180.9,5332.7,5377.8,5231.9
,Fossil Fuel Combustiona,4740.3,4690.1,4793.1,4915.1,4990,5041,5232.4,5296.7,5333.5,5400.8,5593.7,5525,5560.6,5619.8,5709.1,5746.9,5660.3,5753,5566.6,5193.2,5359.4,5227.1,5024.6,5156.5,5202.3,5049.8
,  Electricity Generation,1820.8,1818.2,1831.5,1906.9,1931.2,1947.9,2021,2088.4,2177.4,2190.5,2296.9,2257.9,2272.7,2304.2,2335.9,2400.9,2345.3,2411.9,2360.1,2145.7,2258.4,2157.7,2022.2,2038.1,2038,1900.7
,  Transportation,1493.8,1447.6,1496.9,1532.4,1577,1609.9,1654.3,1670.1,1706.6,1761.1,1805.5,1789.4,1830.6,1822.3,1867.1,1887,1882.6,1886.1,1791.8,1717,1728.3,1707.6,1696.8,1713,1742.8,1736.4
,  Industrial,842.5,822.5,857.4,855.7,864.8,870.5,907.4,906.8,869.1,845.9,854.1,843,829.8,829.6,852.3,828,852.6,847.9,802.8,727.7,775.5,775,782.9,812.2,806.1,805.5
,  Residential,338.3,347.2,353.5,365.8,356.8,352.8,383.1,364.7,331.2,350.6,370.8,362.2,360,378.9,367.4,357.8,321.3,341.3,347.6,336.3,334.6,325.5,282.5,329.7,345.4,319.6
,  Commercial,217.4,223.3,220.6,220.1,222.4,225.6,234.5,233.6,215.9,218.8,230.9,225,225,235.2,234.2,223.5,208.6,218.8,223.6,223.5,220.1,220.4,196.7,221,228.7,246.2
,  U.S. Territories,27.6,31.4,33.1,34.2,37.8,34.3,32.1,33,33.2,34,35.6,47.5,42.5,49.6,52,49.7,49.9,47.1,40.7,43.1,42.4,40.9,43.5,42.5,41.4,41.4
,Non-Energy Use of Fuels,117.6,127.7,125.8,116.3,125.5,128.3,123.8,132.4,149.7,163,140.3,131.7,135.2,129,147.3,138.9,140.3,122.9,125.4,106.2,114.3,109.8,106.7,123.6,119,125.5
,Natural Gas Systems,37.7,38,37.7,41,41.1,42.6,40.1,39.7,29.7,30.8,29.9,29.3,30.1,29,28.7,30.1,30.2,31,32.8,32.3,32.4,35.7,35.2,38.5,42.4,42.4
,Incineration of Waste,8,8,9.5,9.8,10.8,11.3,11.9,11.8,10.8,11,11.1,11.4,11.8,12.1,12.4,12.5,12.5,12.7,11.9,11.3,11,10.6,10.4,10.4,10.6,10.7
