Table 3-11:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Electricity Generation,7.4,7.4,7.4,7.7,7.9,7.9,8.2,8.3,8.7,8.9,9.6,10.2,12.0,13.2,14.7,16.0,16.2,16.7,16.8,16.8,18.5,17.6,17.8,19.1,19.6,19.5
,Coal,6.3,6.3,6.3,6.6,6.7,6.8,7.0,7.1,7.2,7.2,7.7,7.8,8.9,9.9,10.8,11.6,11.5,11.4,11.6,11.2,12.5,11.5,10.2,12.1,12.4,11.0
,Fuel Oil,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Natural Gas,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.4,1.5,1.8,2.3,3.0,3.2,3.8,4.3,4.7,5.2,5.2,5.6,5.9,6.1,7.5,7.0,7.2,8.4
,Wood,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Industrial,3.1,3.0,3.1,3.1,3.2,3.2,3.3,3.3,3.1,3.1,3.1,2.9,2.8,2.8,2.9,2.9,3.0,2.9,2.6,2.3,2.5,2.4,2.4,2.4,2.4,2.4
,Coal,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3
,Fuel Oil,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.4,0.3,0.4,0.4,0.3,0.4,0.3,0.3
,Natural Gas,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2
,Wood,1.6,1.6,1.7,1.7,1.8,1.9,1.9,2.0,1.8,1.8,1.9,1.6,1.6,1.5,1.7,1.6,1.7,1.6,1.5,1.3,1.4,1.5,1.5,1.5,1.5,1.5
,Commercial,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4
,Coal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Fuel Oil,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
,Natural Gas,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Wood,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
