"Table 3-2:  CO2, CH4, and N2O Emissions from Energy (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,CO2 ,"4,907,164","4,867,217","4,969,596","5,085,773","5,170,996","5,226,832","5,411,858","5,484,437","5,527,608","5,609,468","5,778,876","5,701,317","5,741,631","5,793,759","5,901,416","5,932,326","5,847,170","5,923,507","5,740,449","5,346,690","5,521,296","5,387,235","5,180,851","5,332,717","5,377,822","5,231,882"
,Fossil Fuel Combustiona,"4,740,343","4,690,088","4,793,073","4,915,094","4,989,973","5,040,997","5,232,351","5,296,694","5,333,484","5,400,842","5,593,706","5,524,952","5,560,586","5,619,753","5,709,058","5,746,942","5,660,261","5,753,016","5,566,614","5,193,156","5,359,360","5,227,061","5,024,643","5,156,523","5,202,300","5,049,763"
,Non-Energy Use of Fuels,"117,585","127,690","125,811","116,326","125,472","128,274","123,777","132,362","149,699","163,012","140,272","131,703","135,216","128,989","147,297","138,913","140,274","122,852","125,362","106,169","114,294","109,756","106,750","123,645","118,995","125,526"
,Natural Gas Systems,"37,732","37,951","37,677","41,027","41,089","42,643","40,148","39,700","29,719","30,763","29,870","29,339","30,115","28,950","28,676","30,076","30,174","30,983","32,774","32,302","32,439","35,662","35,203","38,457","42,351","42,351"
,Incineration of Waste,"7,950","7,959","9,483","9,751","10,833","11,261","11,861","11,848","10,822","11,001","11,106","11,391","11,828","12,099","12,375","12,469","12,528","12,733","11,892","11,318","11,047","10,564","10,379","10,398","10,608","10,676"
,Petroleum Systems,"3,553","3,528","3,551","3,574","3,629","3,657","3,722","3,832","3,884","3,849","3,923","3,933","3,884","3,967","4,011","3,927","3,934","3,924","3,806","3,745","4,154","4,192","3,876","3,693","3,567","3,567"
,Biomass-Woodb,"215,186","215,268","225,041","219,290","225,012","229,091","235,726","228,481","210,392","213,337","218,088","193,491","192,830","193,833","205,086","206,901","202,855","202,317","199,932","188,220","192,462","195,182","194,903","211,581","217,654","198,723"
,International Bunker Fuelsb,"103,463","117,569","107,863","97,829","96,689","98,492","99,750","106,961","110,491","102,733","101,726","93,731","94,443","98,310","108,391","113,139","114,116","115,345","114,342","106,410","116,992","111,660","105,805","99,763","103,201","110,751"
,Biofuels-Ethanolb,"4,227","4,897","5,568","6,507","7,286","7,816","5,606","7,099","7,844","8,155","9,347","9,840","11,719","15,975","20,080","22,943","30,985","38,924","54,739","62,272","72,647","72,881","72,827","74,743","76,075","78,934"
,Biofuels-Biodieselb,0,0,0,0,0,0,0,0,0,0,0,97,154,127,253,856,"2,458","3,332","2,860","3,032","2,450","8,349","8,470","13,462","13,349","14,077"
