Table 3-36:  CH4 Emissions from Petroleum Systems (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Production ,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pneumatic controller venting ,19.1,19.2,18.7,18.4,18.3,18.2,18.1,18.1,18.0,17.8,17.7,17.6,17.5,17.4,17.2,17.1,16.9,16.8,16.6,16.4,16.3,16.1,14.8,17.8,18.5,18.6
,Offshore platforms,5.3,5.3,5.2,5.1,5.1,5.0,5.0,4.9,5.0,4.9,4.8,4.8,4.8,4.7,4.6,4.6,4.6,4.8,4.7,4.6,4.7,4.7,4.7,4.7,4.7,4.7
,Associated gas venting and flaring,17.1,17.2,16.7,16.6,16.1,15.8,15.7,15.7,15.0,14.3,14.4,14.3,14.2,14.2,14.2,14.4,14.7,14.6,15.4,15.4,15.7,16.2,14.7,9.0,6.0,3.7
,Tanks ,6.2,6.0,5.6,5.2,4.8,4.6,4.3,4.1,3.8,3.4,3.2,3.0,2.8,2.6,2.3,2.0,1.8,1.7,1.5,1.5,1.3,1.2,1.4,1.6,1.9,2.0
,Gas Engines,2.1,2.1,2.1,2.0,2.0,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,2.1,2.1,2.3,2.3
,Other Sources ,4.9,4.9,4.7,4.7,4.6,4.6,4.7,4.9,4.6,4.4,4.6,4.8,4.8,5.0,5.1,5.3,5.7,5.7,6.2,5.7,6.3,7.1,8.0,8.3,8.9,7.7
,Production Total,54.7,54.8,53.0,51.9,50.9,50.1,49.7,49.6,48.2,46.5,46.5,46.3,45.7,45.5,45.2,45.2,45.5,45.4,46.3,45.4,46.2,47.2,45.6,43.6,42.2,39.0
,Crude Oil Transportation,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
,Refining,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.6,0.6,0.6
,Total ,55.5,55.5,53.8,52.6,51.7,50.9,50.5,50.4,49.0,47.3,47.3,47.1,46.5,46.3,46.0,46.0,46.3,46.2,47.0,46.2,47.0,48.0,46.4,44.5,43.0,39.9
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
