Table 3-51:  Calculated Potential CH4 and Captured/Combusted CH4 from Natural Gas Systems (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Calculated Potentiala,194.1,196.5,195.3,194.9,195.5,189.1,186.6,185.4,182.5,182.7,180.6,183.1,180.3,179.1,178.6,179.1,181.0,178.2,181.6,174.2,172.2,172.4,174.5,176.6,180.5,181.1
,Field Production,70.6,73.3,72.9,74.8,76.8,76.7,79.7,81.3,82.9,86.2,86.7,93.0,92.3,95.3,97.3,101.0,105.8,107.8,113.5,109.2,109.8,112.4,114.7,114.4,116.7,115.8
,Processing,21.3,21.1,21.2,20.6,20.1,18.2,16.4,15.8,14.0,14.2,13.9,13.2,13.3,12.6,12.1,11.7,11.4,11.1,10.8,10.4,10.2,10.1,10.1,10.9,11.1,11.1
,Transmission and Storage,58.6,59.3,59.4,58.2,57.0,55.7,54.3,53.1,51.7,50.4,49.5,47.7,46.9,45.7,44.5,43.1,41.8,41.2,40.2,39.1,38.3,37.3,37.3,39.1,40.4,42.2
,Distribution,43.5,42.9,41.8,41.3,41.6,38.4,36.2,35.2,33.9,31.9,30.5,29.2,27.8,25.6,24.5,23.3,22.0,18.2,17.0,15.5,13.9,12.6,12.4,12.2,12.2,12.0
,Captured/Combusted,0.0,0.0,0.0,2.1,3.3,4.1,4.7,6.2,8.1,9.8,10.9,13.3,16.9,16.8,18.4,19.4,18.8,18.4,18.8,18.1,19.9,17.9,18.3,17.4,18.0,18.6
,Field Production,0.0,0.0,0.0,0.2,0.7,1.1,2.1,2.3,2.9,3.6,3.7,4.1,4.2,4.9,5.4,5.8,5.8,6.1,6.6,7.1,7.7,7.9,7.8,8.1,8.6,9.2
,Processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Transmission and Storage,0.0,0.0,0.0,1.3,1.9,2.5,2.1,3.2,4.6,5.3,6.4,8.3,8.8,8.8,10.2,12.4,11.5,10.9,10.9,9.5,10.8,8.5,9.4,8.3,8.4,8.5
,Distribution,0.0,0.0,0.0,0.5,0.6,0.5,0.6,0.8,0.6,0.8,0.7,0.9,3.9,3.1,2.8,1.2,1.6,1.4,1.3,1.6,1.4,1.5,1.1,1.0,1.0,1.0
,Net Emissions,194.1,196.5,195.3,192.8,192.3,184.9,181.8,179.2,174.5,172.9,169.7,169.8,163.4,162.3,160.2,159.7,162.2,159.8,162.7,156.1,152.3,154.5,156.2,159.2,162.5,162.4
,Field Production,70.6,73.3,72.9,74.6,76.1,75.6,77.6,79.0,80.0,82.5,83.0,88.9,88.1,90.4,92.0,95.2,100.0,101.6,106.9,102.1,102.1,104.5,106.9,106.3,108.2,106.6
,Processing,21.3,21.1,21.2,20.6,20.1,18.2,16.4,15.8,14.0,14.2,13.9,13.2,13.3,12.6,12.1,11.7,11.4,11.1,10.8,10.4,10.2,10.1,10.1,10.9,11.1,11.1
,Transmission and Storage,58.6,59.3,59.4,56.9,55.1,53.2,52.2,49.9,47.2,45.1,43.1,39.4,38.2,36.9,34.3,30.7,30.4,30.3,29.3,29.6,27.5,28.8,27.9,30.8,32.0,33.7
,Distribution,43.5,42.9,41.8,40.8,41.0,37.9,35.6,34.4,33.3,31.1,29.7,28.3,23.9,22.5,21.8,22.1,20.5,16.8,15.8,13.9,12.5,11.1,11.3,11.2,11.2,11.0
,"a In this context, “potential” means the total emissions calculated before voluntary reductions and regulatory controls are applied.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.  ,,,,,,,,,,,,,,,,,,,,,,,,,,
