"Table 3-8:  CO2, CH4, and N2O Emissions from Fossil Fuel Combustion by End-Use Sector (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-Use Sector ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Transportationa,1543.7,1499.2,1551.4,1588.9,1635.3,1669.3,1714.5,1730.9,1767.6,1818.8,1861.9,1842.5,1880.9,1870.7,1913.2,1930.4,1923.4,1922.6,1825.5,1748.8,1759.2,1737.0,1723.2,1737.7,1765.6,1757.3
,CO2,1496.8,1450.6,1499.8,1535.4,1580.1,1612.9,1657.4,1673.2,1709.8,1764.3,1808.9,1793.1,1834.1,1826.5,1871.7,1891.8,1887.2,1891.1,1796.5,1721.4,1732.7,1711.9,1700.6,1717.0,1746.9,1740.1
,CH4,5.6,5.5,5.5,5.4,5.3,5.2,5.0,4.8,4.6,4.0,3.7,3.5,3.2,3.0,2.9,2.8,2.7,2.5,2.4,2.3,2.3,2.3,2.2,2.1,2.1,2.0
,N2O,41.2,43.1,46.1,48.1,49.9,51.2,52.1,52.9,53.2,50.5,49.3,46.0,43.6,41.1,38.6,35.8,33.5,28.9,26.6,25.0,24.1,22.9,20.4,18.5,16.6,15.2
,Industriala,1537.0,1504.6,1564.8,1573.1,1596.6,1595.0,1652.6,1670.8,1647.8,1627.5,1652.3,1586.9,1561.9,1581.3,1607.6,1574.2,1574.0,1572.7,1509.1,1338.0,1425.8,1408.8,1385.0,1416.6,1409.0,1364.6
,CO2,1529.2,1497.0,1557.0,1565.1,1588.4,1586.7,1644.2,1662.3,1639.6,1619.2,1643.8,1578.8,1553.5,1572.5,1598.1,1564.6,1564.2,1563.1,1499.8,1329.5,1416.5,1399.6,1375.7,1407.0,1399.3,1355.0
,CH4,2.0,1.9,2.0,2.0,2.0,2.1,2.1,2.1,2.0,2.0,2.0,1.9,1.8,1.8,1.9,1.9,1.9,1.8,1.7,1.5,1.6,1.6,1.6,1.6,1.6,1.6
,N2O,5.9,5.7,5.9,5.9,6.1,6.1,6.3,6.4,6.2,6.2,6.4,6.2,6.6,7.0,7.6,7.8,7.9,7.8,7.6,7.0,7.7,7.5,7.7,8.0,8.1,8.0
,Residential,940.2,958.1,954.4,1006.7,997.4,1003.1,1064.3,1053.0,1057.1,1078.2,1141.5,1133.0,1160.6,1191.2,1189.7,1224.9,1162.0,1215.4,1201.7,1134.3,1186.5,1127.7,1018.8,1077.5,1093.3,1015.7
,CO2,931.4,949.1,945.2,998.0,989.0,994.7,1055.4,1045.2,1049.7,1070.5,1133.2,1124.9,1151.7,1181.7,1179.6,1214.1,1151.8,1204.5,1190.4,1122.7,1174.6,1116.2,1007.8,1064.6,1080.1,1003.9
,CH4,5.4,5.5,5.8,5.2,4.9,4.9,5.1,4.2,3.8,3.9,4.2,3.8,3.9,4.1,4.1,4.2,3.8,4.1,4.4,4.6,4.2,4.2,3.9,5.1,5.2,4.0
,N2O,3.4,3.5,3.5,3.6,3.6,3.6,3.7,3.6,3.6,3.7,4.1,4.3,5.0,5.5,6.0,6.6,6.5,6.8,6.9,7.1,7.7,7.3,7.1,7.9,8.0,7.8
,Commerciala,759.1,765.8,761.7,786.1,798.6,816.3,847.3,887.1,905.4,917.1,976.8,985.6,984.3,995.4,1014.2,1033.7,1014.2,1054.6,1046.7,983.9,1000.9,966.0,904.5,933.6,943.0,917.9
,CO2,755.4,762.1,758.0,782.3,794.8,812.4,843.2,883.0,901.2,912.8,972.2,980.7,978.8,989.4,1007.7,1026.8,1007.2,1047.3,1039.3,976.5,993.0,958.4,897.0,925.5,934.7,909.4
,CH4,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.2,1.2,1.3
,N2O,2.5,2.5,2.5,2.6,2.7,2.7,2.8,2.9,3.0,3.1,3.4,3.7,4.3,4.7,5.2,5.7,5.8,6.1,6.1,6.2,6.6,6.3,6.4,6.9,7.1,7.2
,U.S. Territoriesb,27.7,31.5,33.3,34.4,37.9,34.5,32.2,33.1,33.4,34.1,35.7,47.7,42.6,49.8,52.2,49.9,50.1,47.3,40.8,43.3,42.6,41.0,43.7,42.6,41.5,41.5
,Total,4807.6,4759.2,4865.6,4989.2,5065.8,5118.1,5310.9,5375.0,5411.2,5475.7,5668.2,5595.7,5630.4,5688.4,5776.9,5813.1,5723.7,5812.5,5623.8,5248.3,5415.0,5280.5,5075.2,5208.1,5252.4,5097.0
,"a In 2016, FHWA changed its methods for estimating the share of gasoline used in on-road and non-road applications, which created a time-series inconsistency between 2015 and previous years in this Inventory.  The method changes resulted in a decrease in the estimated motor gasoline consumption for the transportation sector and a subsequent increase in the commercial and industrial sectors of this Inventory for 2015.  The method updates are discussed further in the Planned Improvements section below under CO2 from Fossil Fuel Combustion.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"b U.S. Territories are not apportioned by sector, and emissions are total greenhouse gas emissions from all fuel combustion sources.",,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:  Totals may not sum due to independent rounding. Emissions from fossil fuel combustion by electricity generation are allocated based on aggregate national electricity consumption by each end-use sector. ,,,,,,,,,,,,,,,,,,,,,,,,,,
