Table 4-1:  Emissions from Industrial Processes and Product Use (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,CO2,208.8,199,202.1,200.4,208.1,216.4,217.5,222,218.5,217.3,214.9,193.6,193.8,188.7,196.5,191.7,196.5,198.9,183.9,141.8,170.1,174.3,171,172.9,179.3,170.7
,Iron and Steel Production & Metallurgical Coke Production,101.5,92.1,92.9,88.9,91.8,95.5,93.6,95,88.6,86.4,88.1,77.6,73.7,70.6,70.2,68,70.8,72.5,68,43.8,56.8,61.1,55.4,53.3,58.6,48.9
,Iron and Steel Production,99,89.7,91.5,88.5,89.1,92.9,91.8,93.6,86.1,83.9,85.8,76.7,71.5,68.1,68.3,66,68.9,70.5,65.7,42.8,54.7,59.7,54.9,51.5,56.6,46
,Metallurgical Coke Production,2.5,2.4,1.4,0.5,2.6,2.6,1.8,1.4,2.5,2.5,2.2,0.9,2.3,2.4,1.9,2,1.9,2.1,2.3,1,2.1,1.4,0.5,1.8,2,2.8
,Cement Production,33.5,32.7,33,34.8,36.3,37.1,37.3,38.6,39.5,40.2,41.4,41.6,43.2,43.3,45.9,46.2,46.9,45.5,41.4,29.6,31.4,32.2,35.3,36.4,39.4,39.9
,Petrochemical Production,21.3,22.7,23.3,24.3,26.2,27.6,28.7,30.1,30.4,31.9,31.1,27.2,28.3,28,30.2,27,27.2,27.6,24.4,23.4,27.3,26.3,26.5,26.4,26.5,28.1
,Lime Production,11.7,11.5,11.9,12.3,12.7,13.5,14.2,14.5,14.8,14.4,14.3,13.7,13.2,13.9,14.6,14.6,15.2,14.7,14.5,11.4,13.4,14,13.8,14,14.2,13.3
,Other Process Uses of Carbonates,4.9,4.3,4.3,3.9,4.3,6.2,6.8,6.4,6.7,7.6,4.7,4.7,5.1,3.7,5.6,6.3,7.3,7.4,5.9,7.6,9.6,9.3,8,10.4,11.8,11.2
,Ammonia Production,13,13.3,13.7,13.2,14.2,13.5,13.8,14,14.1,12.9,12.2,9.2,10.5,8.8,9.6,9.2,8.8,9.1,8.4,8.5,9.2,9.3,9.4,10,9.6,10.8
,Carbon Dioxide Consumption,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.9,1,1.4,1.3,1.4,1.8,1.9,1.8,1.8,4.4,4.1,4,4.2,4.5,4.3
,Soda Ash Production and Consumption,2.8,2.8,2.8,2.7,2.7,3,3,3.1,3,2.9,2.9,2.9,2.8,2.8,2.9,3,2.9,2.9,3,2.6,2.7,2.7,2.8,2.8,2.8,2.8
,Aluminum Production,6.8,6.9,6.8,6.2,5.5,5.7,6,6,6.2,6.3,6.1,4.4,4.5,4.5,4.2,4.1,3.8,4.3,4.5,3,2.7,3.3,3.4,3.3,2.8,2.8
,Ferroalloy Production,2.2,1.9,2,1.9,2,2,2.1,2.2,2.2,2.2,1.9,1.5,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.5,1.7,1.7,1.9,1.8,1.9,2
