Table 3-14:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Type/Vehicle Typea,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Gasoline On-Roadb,37.5,39.5,42.3,44.3,45.9,47.1,48.0,48.9,49.3,46.4,44.8,41.8,39.3,36.9,34.2,31.3,29.0,24.2,22.1,20.9,19.7,18.4,16.1,14.1,12.3,10.8
Passenger Cars,24.1,23.8,24.5,24.9,25.6,25.9,25.9,25.8,25.8,23.5,22.5,21.1,19.7,18.3,17.1,15.7,14.2,16.2,14.5,13.5,12.7,12.1,10.5,9.2,7.8,6.9
Light-Duty Trucks,12.8,15.1,17.1,18.7,19.6,20.5,21.3,22.3,22.5,21.9,21.3,19.6,18.5,17.5,16.2,14.7,13.9,6.9,6.6,6.4,6.1,5.6,4.9,4.3,4.0,3.4
Medium- and Heavy-Duty Trucks and Buses,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.8,1.1,1.0,0.9,0.9,0.7,0.7,0.6,0.5,0.5
Motorcycles,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Diesel On-Roadb,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Light-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Medium- and Heavy-Duty  Trucks and Buses,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Alternative Fuel On-Road,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1
Non-Roadc,3.5,3.3,3.6,3.6,3.7,3.8,3.8,3.7,3.6,3.8,4.2,3.9,3.9,3.8,4.0,4.1,4.2,4.2,4.0,3.7,4.0,4.0,3.9,4.0,3.8,3.9
Ships and Boats,0.6,0.5,0.7,0.7,0.7,0.8,0.7,0.5,0.4,0.5,0.8,0.5,0.6,0.5,0.5,0.6,0.6,0.7,0.6,0.5,0.8,0.8,0.7,0.7,0.5,0.6
Raild,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3
Aircraft ,1.7,1.6,1.6,1.6,1.7,1.6,1.7,1.7,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.7,1.7,1.6,1.4,1.4,1.4,1.3,1.4,1.4,1.5
Agricultural Equipmente,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Construction/Mining Equipmentf,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6
Otherg,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Total,41.2,43.1,46.1,48.1,49.9,51.2,52.1,52.9,53.2,50.5,49.3,46.0,43.6,41.0,38.6,35.7,33.5,28.9,26.6,25.0,24.1,22.8,20.4,18.5,16.6,15.1
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,
a See Annex 3.2 for definitions of on-road vehicle types. ,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Gasoline and diesel highway vehicle mileage estimates are based on data from FHWA Highway Statistics Table VM-1 (FHWA 1996 through 2016). These mileage estimates are combined with estimates of fuel shares by vehicle type from DOE’s TEDB Annex Tables A.1 through A.6 (DOE 1993 through 2016). TEDB data for 2015 has not been published yet, therefore 2014 data is used as a proxy. ",,,,,,,,,,,,,,,,,,,,,,,,,,
"c In 2016, FHWA changed its methods for estimating the share of gasoline used in on-road and non-road applications.  These method changes created a time-series inconsistency in this Inventory between 2015 and previous years in CH4 and N2O estimates for agricultural, construction, commercial, and industrial non-road mobile sources.  The method updates are discussed further in the Planned Improvements section below under CH4 and N2O from Mobile Combustion.",,,,,,,,,,,,,,,,,,,,,,,,,,
"d Rail emissions do not include emissions from electric powered locomotives. Class II and Class III diesel consumption data for 2014 and 2015 are not available yet, therefore 2013 data is used as a proxy. ",,,,,,,,,,,,,,,,,,,,,,,,,,
"e Includes equipment, such as tractors and combines, as well as fuel consumption from trucks that are used off-road in agriculture.",,,,,,,,,,,,,,,,,,,,,,,,,,
"f Includes equipment, such as cranes, dumpers, and excavators, as well as fuel consumption from trucks that are used off-road in construction.",,,,,,,,,,,,,,,,,,,,,,,,,,
